msglen=8192	60.0359 s		117496 packets/s	962528 KB/s	962.528 MB/s	0.962528 GB/s
msglen=16384	60.042 s		62509.3 packets/s	1.02415e+06 KB/s	1024.15 MB/s	1.02415 GB/s
msglen=16384	60.0587 s		61617.9 packets/s	1.00955e+06 KB/s	1009.55 MB/s	1.00955 GB/s
msglen=16384	60.0102 s		62433.8 packets/s	1.02291e+06 KB/s	1022.91 MB/s	1.02291 GB/s
msglen=16384	60.0593 s		61852.5 packets/s	1.01339e+06 KB/s	1013.39 MB/s	1.01339 GB/s
msglen=16384	60.057 s		62010.9 packets/s	1.01599e+06 KB/s	1015.99 MB/s	1.01599 GB/s
msglen=32768	60.0592 s		31031 packets/s	1.01682e+06 KB/s	1016.82 MB/s	1.01682 GB/s
msglen=32768	60.0028 s		31026.7 packets/s	1.01668e+06 KB/s	1016.68 MB/s	1.01668 GB/s
msglen=32768	60.0231 s		31078.4 packets/s	1.01838e+06 KB/s	1018.38 MB/s	1.01838 GB/s
msglen=32768	60.0593 s		30975.9 packets/s	1.01502e+06 KB/s	1015.02 MB/s	1.01502 GB/s
msglen=32768	60.0593 s		30714.6 packets/s	1.00645e+06 KB/s	1006.45 MB/s	1.00645 GB/s
msglen=4096	60.059 s		230863 packets/s	945613 KB/s	945.613 MB/s	0.945613 GB/s
msglen=4096	60.0594 s		225921 packets/s	925374 KB/s	925.374 MB/s	0.925374 GB/s
msglen=4096	60.0594 s		227316 packets/s	931085 KB/s	931.085 MB/s	0.931085 GB/s
msglen=4096	60.0583 s		236095 packets/s	967047 KB/s	967.047 MB/s	0.967047 GB/s
msglen=4096	60.0038 s		239646 packets/s	981590 KB/s	981.59 MB/s	0.98159 GB/s
msglen=8192	60.0108 s		116755 packets/s	956460 KB/s	956.46 MB/s	0.95646 GB/s
msglen=8192	60.0572 s		115388 packets/s	945261 KB/s	945.261 MB/s	0.945261 GB/s
msglen=8192	60.0593 s		115643 packets/s	947346 KB/s	947.346 MB/s	0.947347 GB/s
msglen=8192	60.0594 s		114639 packets/s	939123 KB/s	939.123 MB/s	0.939123 GB/s
msglen=8192	60.0594 s		114453 packets/s	937599 KB/s	937.599 MB/s	0.937599 GB/s
msglen=16384	60.0559 s		63280.7 packets/s	1.03679e+06 KB/s	1036.79 MB/s	1.03679 GB/s
msglen=16384	60.0376 s		63028.2 packets/s	1.03265e+06 KB/s	1032.65 MB/s	1.03265 GB/s
msglen=16384	60.0593 s		62989.9 packets/s	1.03203e+06 KB/s	1032.03 MB/s	1.03203 GB/s
msglen=16384	60.0147 s		62943.2 packets/s	1.03126e+06 KB/s	1031.26 MB/s	1.03126 GB/s
msglen=16384	60.0369 s		62101.5 packets/s	1.01747e+06 KB/s	1017.47 MB/s	1.01747 GB/s
msglen=32768	60.0497 s		31040.8 packets/s	1.01714e+06 KB/s	1017.14 MB/s	1.01714 GB/s
msglen=32768	60.0505 s		31015.1 packets/s	1.0163e+06 KB/s	1016.3 MB/s	1.0163 GB/s
msglen=32768	60.0594 s		30955.6 packets/s	1.01435e+06 KB/s	1014.35 MB/s	1.01435 GB/s
msglen=32768	60.0593 s		30777.2 packets/s	1.00851e+06 KB/s	1008.51 MB/s	1.00851 GB/s
msglen=32768	60.0592 s		30689.7 packets/s	1.00564e+06 KB/s	1005.64 MB/s	1.00564 GB/s
msglen=4096	60.0688 s		246427 packets/s	1.00936e+06 KB/s	1009.36 MB/s	1.00936 GB/s
